appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners
514520,Sparky's Hunt,2016-08-18,1,Luke Cripps,Fellowplayer,windows,0,Single-player,Indie,Indie;Horror,14,6,3,0,0,0-20000
1012710,Endzeit,2019-04-03,1,RockyDev,RockyDev,windows,0,Single-player;Multi-player;Co-op;Full controller support;Stats,Action;Early Access,Early Access;Action;Violent,0,0,1,88,88,0-20000
279260,Richard & Alice,2014-06-05,1,Owl Cave,Owl Cave,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Indie,Adventure;Indie;Point & Click,21,264,99,332,332,50000-100000
220090,The Journey Down: Chapter One,2013-01-09,1,SkyGoblin,SkyGoblin,windows;mac;linux,0,Single-player;Steam Trading Cards,Adventure;Indie,Adventure;Point & Click;Indie,0,902,129,303,327,200000-500000
788870,In The Long Run The Game,2018-07-02,1,Zerstoren Games,Zerstoren Games,windows,0,Single-player;Partial Controller Support,Action;Adventure;Indie;Simulation;Strategy;Early Access,Early Access;Simulation;Indie,0,6,11,0,0,0-20000
920780,Safe,2018-11-02,1,GraphXGames,GraphXGames,windows,0,Single-player,Indie;Strategy,Indie;Strategy;Puzzle,0,1,0,0,0,0-20000
625780,Magic Wand,2017-06-25,1,thecatamites,harmony corp,windows;mac;linux,0,Single-player,Adventure;Indie;RPG,Adventure;Indie;RPG,0,34,2,0,0,0-20000
339440,Critical Annihilation,2016-02-12,1,Devoga,Devoga,windows;mac;linux,0,Single-player;Co-op;Shared/Split Screen;Steam Achievements;Steam Workshop;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards,Action;Indie;Early Access,Early Access;Action;Indie,24,178,16,0,0,0-20000
448240,Hybrid Animals,2016-08-29,1,FamishedMammal,Abstract Software Inc.,windows,0,Single-player;Multi-player;Steam Achievements;Stats,Action;Casual;Indie;Simulation,Simulation;Action;Casual,26,196,134,0,0,20000-50000
838110,HyperParasite,2019-04-03,1,Troglobytes Games,Troglobytes Games;Hound Picked Games,windows,0,Single-player;Local Co-op;Shared/Split Screen;Partial Controller Support,Action;Adventure;Indie;Early Access,Early Access;Action;Indie,55,30,1,0,0,0-20000
444250,Crown and Council,2016-04-22,1,Mojang,Mojang,windows,0,Single-player;Local Multi-Player,Casual;Indie;Strategy,Strategy;Casual;Indie,0,450,268,0,0,100000-200000
752550,Ripped Pants at Work,2018-01-21,1,Scott Ethington,Scott Ethington,windows;mac,0,Single-player;Full controller support,Action;Indie,Indie;Action,0,20,4,0,0,0-20000
848720,Z.W!,2018-05-15,1,S. Khasanov,S. Khasanov,windows,0,Single-player,Action;Indie,Action;Indie,7,3,1,0,0,0-20000
925470,Endless Jade Sea -Midori no Umi-,2019-01-23,1,Cabbit,SakuraGame,windows,0,Single-player,Adventure;Indie;RPG,Sexual Content;Nudity;Indie,0,92,16,0,0,0-20000
832380,Reignman（掌控者）,2018-05-10,1,Winturn Games,Winturn Games,windows,0,Single-player,Adventure;Indie;Strategy,Strategy;Indie;Adventure,0,22,6,0,0,0-20000
517210,Bad Pad,2018-08-08,1,Headbang Games;Oray Studios,Headbang Games,windows;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Cloud,Action;Indie,Indie;Action;Great Soundtrack,56,23,2,0,0,0-20000
610360,Zup! Zero,2017-04-06,1,Quiet River,Quiet River,windows,0,Single-player;Steam Achievements;Steam Trading Cards,Casual;Indie,Casual;Indie;Puzzle,1043,1270,102,187,204,50000-100000
982100,Samozbor: Rebellion,2018-12-08,1,derevotyan,derevotyan,windows;linux,0,Single-player,Casual;Indie,Indie;Casual;Visual Novel,0,9,2,0,0,0-20000
642600,Burst Fighter,2017-09-16,1,Magesoft,Magesoft,windows,0,Single-player;Co-op;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards,Action;Indie,Indie;Action;Shoot 'Em Up,21,13,0,0,0,0-20000
498620,The Shadowland,2016-07-17,1,Bloodcraft Dev,Bloodcraft Dev,windows,0,Single-player;Steam Trading Cards,Adventure;Indie,Indie;Adventure;Platformer,0,19,12,0,0,0-20000
882260,HellMaze,2018-07-10,1,wirYe Games,wirYe Games,windows;mac;linux,0,Single-player,Adventure;Casual;Indie,Indie;Adventure;Casual,0,1,1,0,0,0-20000
664560,DreamTank,2017-10-13,1,Studio229,Studio229,windows,0,Single-player;Full controller support,Casual;Indie,Casual;Indie;VR,0,3,2,0,0,0-20000
803720,War Theatre,2019-03-16,1,Arcade Distillery,Arcade Distillery,windows;mac,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Cross-Platform Multiplayer;Steam Achievements;Full controller support,RPG;Strategy,Strategy;RPG,19,6,2,0,0,0-20000
683830,Weable,2017-08-22,1,SPECTRUM GAMES,Droid Riot,windows,0,Single-player;Steam Trading Cards,Action;Casual;Indie,Action;Indie;Casual,0,50,9,205,205,20000-50000
699790,Pegasus Door,2017-09-07,1,Jérémy Pionnier,Gate Zero,windows,0,Single-player,Action,Action;VR,0,2,1,0,0,0-20000
656740,Cosmonator,2019-01-21,1,Bourbontank,Bourbontank,windows,0,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards,Action;Indie;RPG,Action;Indie;RPG,25,28,1,0,0,0-20000
556070,Turret Architect,2016-11-28,1,Red Matter Studio,Red Matter Studio,windows,0,Single-player;Steam Trading Cards,Casual;Simulation;Early Access,Early Access;Casual;Simulation,0,25,24,254,258,0-20000
929860,Game Builder,2018-11-01,1,Area 120,Area 120,windows;mac,0,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Workshop;Includes level editor,Free to Play;Indie;Simulation;Early Access,Early Access;Free to Play;Indie,0,160,20,3,3,50000-100000
632830,Aztec Venture,2017-06-01,1,rokaplay,rokaplay,windows,0,Single-player,Casual,Casual;Match 3,0,7,1,0,0,0-20000
672000,System Goose Overload,2017-08-04,1,Joseph Calabro,Joseph Calabro,windows,0,Single-player;Partial Controller Support,Adventure;Indie;RPG,Adventure;RPG;Indie,0,40,3,0,0,0-20000
466110,Shaolin vs Wutang,2018-07-26,1,Jae Lee,Digital Tribe,windows,0,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Leaderboards,Action;Casual;Indie,Indie;Casual;Action,12,573,38,0,0,0-20000
1043510,Hotdog Man,2019-03-20,1,Hot Game,Hot Game,windows,0,Single-player;Steam Achievements,Casual;Indie;Simulation,Indie;Casual;Nudity,14,2,0,0,0,0-20000
340520,Tallowmere,2015-03-03,1,Chris McFarland,Chris McFarland,windows;mac;linux,12,Single-player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Indie,Action;Indie;Violent,28,581,42,420,487,20000-50000
409610,One Final Chaos,2015-10-21,1,Pusselbit;Sweet Studio Labs,A Sweet Studio,windows,0,Single-player;Cross-Platform Multiplayer;Partial Controller Support,Action;Indie,Action;Indie;Runner,8,9,0,0,0,0-20000
850230,Women's Soccer Manager,2018-07-16,1,Trophy Games ApS,Trophy Games ApS,windows,0,Online Multi-Player;In-App Purchases,Free to Play;Sports;Strategy,Free to Play;Sports;Strategy,0,43,15,0,0,20000-50000
274940,Depth,2014-11-03,1,Digital Confectioners,Digital Confectioners,windows,0,Single-player;Multi-player;Online Multi-Player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;In-App Purchases;Steam Cloud;Valve Anti-Cheat enabled;Stats;Steam Leaderboards;Includes level editor,Action;Indie,Action;Multiplayer;Gore,40,22385,3472,791,486,1000000-2000000
568910,Ambition of the Slimes,2018-02-15,1,altairworks,Flyhigh Works;CIRCLE Entertainment,windows,0,Single-player;Steam Achievements;Full controller support,Indie;RPG;Simulation;Strategy,Indie;Strategy;RPG,13,12,1,0,0,0-20000
842310,Zimbo,2018-05-04,1,RS Games,RS Games,windows,0,Single-player;Steam Achievements,Action;Adventure;Casual;Indie;Racing;Simulation;Sports,Action;Indie;Adventure,5,46,72,0,0,0-20000
283180,The Samaritan Paradox,2014-04-18,1,Faravid Interactive,Screen 7,windows,0,Single-player;Steam Achievements;Steam Trading Cards,Adventure;Indie,Adventure;Indie;Point & Click,17,103,34,0,0,20000-50000
817370,Marching Simulator,2018-07-29,1,Marching Simulator,Marching Simulator,windows,0,Single-player,Free to Play;Simulation;Early Access,Early Access;Free to Play;Simulation,0,25,8,0,0,0-20000
289620,Collapse,2014-04-11,1,Creoteam,Buka Entertainment,windows,0,Single-player;Full controller support;Steam Trading Cards,Action;Adventure,Action;Adventure;Hack and Slash,0,342,132,114,114,50000-100000
374240,Eternal Step,2015-10-16,1,Once More With Gusto,Green Man Gaming Publishing,windows;mac;linux,0,Single-player;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure;Indie;RPG,Indie;RPG;Action,0,30,12,0,0,0-20000
584990,The Long Reach,2018-03-14,1,Painted Black Games,Merge Games,windows;mac;linux,0,Single-player;Full controller support,Violent;Gore;Action;Adventure;Indie,Action;Adventure;Indie,15,129,18,0,0,0-20000
860090,Erotic Jigsaw Challenge Vol. 1,2018-06-02,1,BarelyEntertainment,BarelyEntertainment,windows,0,Single-player;Steam Achievements,Sexual Content;Nudity;Casual;Indie;Simulation,Nudity;Sexual Content;Indie,6,17,4,0,0,0-20000
636100,Tesla vs Lovecraft,2018-01-26,1,10tons Ltd,10tons Ltd,windows;mac;linux,0,Single-player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Indie;RPG,Action;Indie;Local Co-Op,20,409,52,131,131,20000-50000
543740,Medieval Story,2017-08-04,1,OddGames,OddGames,windows,0,Single-player;Steam Achievements,Violent;Gore;Action;Adventure;Indie,Adventure;Indie;Action,7,2,2,0,0,0-20000
525860,Garden Wars,2016-11-09,1,Morepork Games,Morepork Games,windows,0,Single-player;Multi-player;Steam Achievements,Casual;Indie;Strategy,Strategy;Indie;Casual,22,2,0,0,0,0-20000
806180,Beyond The Heavens,2018-07-02,1,Zane Games,Zane Games,windows,0,Single-player;Partial Controller Support;Steam Cloud,Action;Indie,Action;Indie;Space,0,1,1,0,0,0-20000
751740,Roller Coaster Egypt VR,2018-03-21,1,NetDinamica,NetDinamica,windows,0,Single-player,Action;Adventure;Indie;Simulation,Action;Adventure;Indie,0,0,3,0,0,0-20000
476460,Picross Touch,2016-08-24,1,Jon Gallant,jgallant,windows;mac;linux,0,Single-player;Steam Achievements;Steam Workshop;Steam Cloud;Steam Leaderboards;Includes level editor,Casual;Free to Play;Indie;Strategy,Casual;Indie;Free to Play,18,576,54,4420,4420,50000-100000
